Na putative_Na_binding_site
NADP putative_NADH_binding_site
K putative_K+_binding_site
PPI putative_H2TH_interface
FMN putative_FMN_binding_site
DNA putative_DNA_binding_helix
Ca putative_Ca2+_binding_site
active_site probable_substrate_binding_site
metal primary_metal_binding_site_
PTM phosphotyrosine_binding_pocket
PTM phosphorylation_site
peptide phosphopeptide_binding_site
oxyanion_hole oxyanion_binding_site
PPI oligomer_interface
nucleotide nucleotidyl_binding_site
nucleotide nucleotide_binding_pocket
DNA_RNA nucleic_acid_binding_region
DNA non-specific_DNA_interactions
Nudix modified_nudix_motif
PPI metallocarboxypeptidase_inhibitor_binding_interface
PPI membrane-bound_complex_binding_site
sugar malate_binding_site
lipid lipoyl-biotinyl_attachment_site
Fe iron_ion_channel
PPI intersubunit_interface
allosteric_site inhibitor_site_
active_site hydrophobic_binding_pocket
PPI homotrimer_interaction_site
PPI heterotrimer_interface
Heme heme_binding_pocket
GSH glutathione_binding_site
PPI glutamase_interaction_surface
active_site generic_binding_surface_I
ferrihydrite ferrihydrite_nucleation_center
allosteric_site effector_interaction_site
creatine creatine_binding_site
catalytic_triad catalytic_triad_
active_site catalytic_network
active_site catalytic_core
PPI carboxyltransferase_(CT)_interaction_site
Ca calcium_ion
Ca calcium_binding_sites
Ca calcium_binding_site
Ca calcium-binding_site
PTM biotinylation_site
active_site arginine_finger
acyl acyl-CoA_binding_pocket
CoA acyl-CoA_binding_pocket
active_site active_sites
active_site active_site_residue
A-loop activation_loop_(A-loop)
acetate acetate_binding_site
TPP TPP-binding_site
PPI TIMP-binding_surface
RNA SmpB-tmRNA_interface
Ras Ras_interaction_site
RNA RNA_binding_site
RNA RNA/DNA_hybrid_binding_site
DNA RNA/DNA_hybrid_binding_site
Ras RAS_interface
PPI PLZF_binding_site
phosphate P4_phosphate_binding_site
PPI NeuB_binding_interface
NAG N-acetyl-D-glucosamine_binding_site
Ni N(i)ck_binding_interface
Mg Mg_binding_site
active_site Ligand_binding_site
active_site Ligand_Binding_Site
PPI Lbd1_binding_interface
AMP K-X-D-G_motif
DNA K-X-D-G_motif
K K+_binding_site
Fe Iron_coordination_center
phosphate Ins(1,4,5)p3_binding_site
PPI ILK_binding_interface
GSH GSH_binding_site
GEF GEF_interaction_site
GEF GEF_(guanine_nucleotide_exchange_factor)_interaction_site
GDP GDP-Mannose_binding_site
sugar GDP-Mannose_binding_site
GDI GDI_(guanine_nucleotide_dissociation_inhibitor)_interaction_site
GAP GAP_(GTPase-activating_protein)_interaction_site
G4_box G4_box
ATP G-X-G_motif
FeS FeS/SAM_binding_site
SAM FeS/SAM_binding_site
PPI EF1Balpha_binding_site
PPI E3_interaction_surface
PPI E-class_dimer_interface
PPI DsbD_alpha_interface
DNA DNA-binding_site
Ca D-X-S-D-E_motif
PPI CysD_dimerization_site
Cu Cu2+_binding_site
PPI Chs6_interaction_interface
Ca Ca_binding_site
CDK CDK/cyclin_interface
cyclin CDK/cyclin_interface
PPI C-terminal_domain_interface
PPI Bch1_interaction_interface
nucleotide B2_nucleotide_binding_pocket
nucleotide B1_nucleotide_binding_pocket
PPI Ap6A_binding_site
active_site Active_Site
ATP ATP-AMP_(Ap5A)-binding_site
AMP ATP-AMP_(Ap5A)-binding_site
AMP AMP-binding_site
ADP ADP-ribose_binding_site
sugar ADP-ribose_binding_site
FeS 3Fe-4S_cluster_binding_site
