edge	weight	E1_cov	E1_hits	E10_cov	E10_hits	E100_cov	E100_hits	E1000_cov	E1000_hits
profile_45 (EFL) cdd_263542	0.36	0.22	41	0.22	41	0.36	69	0.45	85
profile_213 (EFL) cdd_238009	0.51	0.46	26	0.47	27	0.51	29	0.6	34
profile_15 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_0 (EFL) cdd_263577	0.34	0.23	50	0.26	55	0.34	73	0.49	105
profile_106 (EFL) cdd_260262	0.46	0.45	86	0.45	87	0.46	88	0.47	90
profile_299 (EFL) cdd_260189	0.31	0.16	84	0.21	110	0.31	165	0.35	189
profile_265 (EFL) cdd_260317	0.0052	0.0026	1	0.0026	1	0.0052	2	0.023	9
profile_293 (EFL) cdd_266580	0.85	0.52	1309	0.76	1906	0.85	2124	0.9	2248
profile_235 (EFL) cdd_266485	0.12	0.055	224	0.067	272	0.12	474	0.36	1448
profile_57 (EFL) cdd_266551	0.73	0.66	2395	0.68	2473	0.73	2657	0.77	2820
profile_246 (EFL) cdd_261300	0.012	0.0019	4	0.0029	6	0.012	26	0.064	133
profile_45 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_86 (EFL) cdd_261518	0.02	0.0019	2	0.0019	2	0.02	21	0.24	249
profile_0 (EFL) cdd_265675	0.0004	0.0004	1	0.0004	1	0.0004	1	0.006	15
profile_54 (EFL) cdd_263080	0.013	0.0016	3	0.0016	3	0.013	25	0.065	122
profile_27 (EFL) cdd_265413	0.0023	0.00066	2	0.0017	5	0.0023	7	0.014	43
profile_16 (EFL) cdd_266552	0.001	0.00052	1	0.00052	1	0.001	2	0.001	2
profile_66 (EFL) cdd_264347	0.0014	0.00027	1	0.00027	1	0.0014	5	0.014	51
profile_246 (EFL) cdd_261337	0.063	0.024	14	0.032	19	0.063	37	0.15	89
profile_109 (EFL) cdd_260311	0.044	0.027	43	0.027	43	0.044	69	0.069	108
profile_207 (EFL) cdd_261304	0.9	0.8	24	0.83	25	0.9	27	0.9	27
profile_276 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_187 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_131 (EFL) cdd_264509	0.49	0.28	199	0.41	295	0.49	350	0.66	472
profile_26 (EFL) cdd_262530	0.32	0.23	46	0.23	46	0.32	63	0.33	66
profile_90 (EFL) cdd_260415	0.069	0.023	2	0.034	3	0.069	6	0.08	7
profile_232 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0062	12
profile_56 (EFL) cdd_260311	0.033	0.027	43	0.027	43	0.033	52	0.036	56
profile_303 (EFL) cdd_263923	0.018	0.0033	3	0.0078	7	0.018	16	0.052	47
profile_140 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.003	11
profile_300 (EFL) cdd_260188	0.56	0.56	194	0.56	196	0.56	196	0.57	199
profile_247 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_192 (EFL) cdd_267298	0.001	0.001	1	0.001	1	0.001	1	0.002	2
profile_0 (EFL) cdd_265432	0.0028	0.0028	1	0.0028	1	0.0028	1	0.0055	2
profile_213 (EFL) cdd_263577	0.23	0.18	39	0.22	46	0.23	49	0.46	97
profile_109 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_50 (EFL) cdd_264355	0.95	0.91	1019	0.93	1042	0.95	1069	0.97	1087
profile_163 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_0 (EFL) cdd_238009	0.56	0.51	29	0.51	29	0.56	32	0.61	35
profile_269 (EFL) cdd_260207	0.0037	0.00092	1	0.0018	2	0.0037	4	0.0092	10
profile_99 (EFL) cdd_263922	0.28	0.23	180	0.23	185	0.28	224	0.33	261
profile_24 (EFL) cdd_260280	0.17	0.15	22	0.15	22	0.17	25	0.18	26
profile_136 (EFL) cdd_238078	0.016	0.016	1	0.016	1	0.016	1	0.016	1
profile_6 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_110 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_201 (EFL) cdd_263929	0.00093	0.00093	1	0.00093	1	0.00093	1	0.0056	6
profile_117 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0073	14
profile_195 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_107 (EFL) cdd_264512	0.0078	0.00078	1	0.00078	1	0.0078	10	0.1	130
profile_225 (EFL) cdd_266552	0.0016	0.0016	3	0.0016	3	0.0016	3	0.0016	3
profile_118 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0019	7
profile_129 (EFL) cdd_264492	0.00057	0.00057	1	0.00057	1	0.00057	1	0.0011	2
profile_29 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.00086	6
profile_250 (EFL) cdd_266528	0.0098	0.0098	1	0.0098	1	0.0098	1	0.0098	1
profile_269 (EFL) cdd_260367	0.0026	0.0026	1	0.0026	1	0.0026	1	0.018	7
profile_283 (EFL) cdd_263940	0.00086	0.00017	1	0.00017	1	0.00086	5	0.0038	22
profile_29 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_209 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0025	9
profile_218 (EFL) cdd_212557	0.73	0.091	3	0.091	3	0.73	24	0.91	30
profile_232 (EFL) cdd_266538	0.0015	0.0003	1	0.0003	1	0.0015	5	0.0084	28
profile_246 (EFL) cdd_260398	0.0093	0.00051	4	0.0019	15	0.0093	73	0.039	304
profile_233 (EFL) cdd_266539	0.051	0.0069	6	0.01	9	0.051	44	0.099	86
profile_223 (EFL) cdd_266552	0.015	0.014	27	0.014	27	0.015	28	0.016	31
profile_224 (EFL) cdd_187786	0.89	0.56	5	0.56	5	0.89	8	0.89	8
profile_86 (EFL) cdd_266524	0.011	0.00029	2	0.00029	2	0.011	79	0.14	985
profile_35 (EFL) cdd_260433	0.00098	0.00049	1	0.00049	1	0.00098	2	0.0044	9
profile_249 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_202 (EFL) cdd_100105	0.035	0.018	1	0.018	1	0.035	2	0.035	2
profile_26 (EFL) cdd_266564	0.022	0.011	2	0.011	2	0.022	4	0.034	6
profile_60 (EFL) cdd_265413	0.00066	0.00033	1	0.00033	1	0.00066	2	0.0046	14
profile_59 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0033	12
profile_33 (EFL) cdd_266552	0.001	0.00052	1	0.00052	1	0.001	2	0.0016	3
profile_22 (EFL) cdd_261464	0.9	0.87	102	0.88	103	0.9	105	0.92	108
profile_221 (EFL) cdd_261022	0.0038	0.00096	1	0.00096	1	0.0038	4	0.011	11
profile_135 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_27 (EFL) cdd_263942	0.0025	0.00046	2	0.00069	3	0.0025	11	0.046	200
profile_9 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_304 (EFL) cdd_263925	0.002	0.00033	1	0.00067	2	0.002	6	0.008	24
profile_60 (EFL) cdd_260398	0.00025	0.00013	1	0.00013	1	0.00025	2	0.0056	44
profile_235 (EFL) cdd_260370	0.063	0.0095	6	0.049	31	0.063	40	0.1	65
profile_107 (EFL) cdd_260432	0.0064	0.00079	1	0.0016	2	0.0064	8	0.094	118
profile_238 (EFL) cdd_263940	0.00017	0.00017	1	0.00017	1	0.00017	1	0.0017	10
profile_221 (EFL) cdd_266525	0.00024	0.00024	1	0.00024	1	0.00024	1	0.0012	5
profile_18 (EFL) cdd_260432	0.0032	0.00079	1	0.0016	2	0.0032	4	0.03	38
profile_74 (EFL) cdd_260403	0.86	0.76	441	0.83	483	0.86	498	0.89	517
profile_155 (EFL) cdd_260275	0.31	0.3	112	0.3	112	0.31	115	0.31	117
profile_5 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_140 (EFL) cdd_266533	0.54	0.072	6	0.072	6	0.54	45	0.8	66
profile_6 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_99 (EFL) cdd_260398	0.00038	0.00013	1	0.00013	1	0.00038	3	0.00076	6
profile_225 (EFL) cdd_260327	0.85	0.73	341	0.75	348	0.85	398	0.88	410
profile_139 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_86 (EFL) cdd_264350	0.017	0.0019	1	0.0019	1	0.017	9	0.13	67
profile_220 (EFL) cdd_260370	0.014	0.0016	1	0.0047	3	0.014	9	0.041	26
profile_232 (EFL) cdd_266551	0.0016	0.00055	2	0.00055	2	0.0016	6	0.006	22
profile_123 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_46 (EFL) cdd_263972	0.0014	0.00069	1	0.00069	1	0.0014	2	0.045	65
profile_38 (EFL) cdd_260534	0.034	0.0029	2	0.0029	2	0.034	23	0.079	54
profile_194 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0027	10
profile_230 (EFL) cdd_266551	0.32	0.25	898	0.28	1024	0.32	1151	0.35	1272
profile_29 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_86 (EFL) cdd_261372	0.015	0.0017	2	0.0017	2	0.015	18	0.22	254
profile_86 (EFL) cdd_265430	0.089	0.0085	23	0.0096	26	0.089	241	0.27	728
profile_225 (EFL) cdd_262078	0.0045	0.0045	1	0.0045	1	0.0045	1	0.0045	1
profile_197 (EFL) cdd_260295	0.093	0.043	7	0.043	7	0.093	15	0.12	19
profile_141 (EFL) cdd_264347	0.14	0.12	455	0.13	467	0.14	517	0.16	573
profile_47 (EFL) cdd_266539	0.014	0.0012	1	0.0012	1	0.014	12	0.025	22
profile_88 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0026	5
profile_156 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_0 (EFL) cdd_265470	0.0057	0.0017	7	0.0037	15	0.0057	23	0.011	43
profile_235 (EFL) cdd_266546	0.21	0.11	59	0.15	79	0.21	107	0.25	131
profile_153 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_107 (EFL) cdd_261488	0.0028	0.00092	1	0.00092	1	0.0028	3	0.051	56
profile_200 (EFL) cdd_260342	0.00092	0.00092	1	0.00092	1	0.00092	1	0.0092	10
profile_151 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0025	9
profile_86 (EFL) cdd_260398	0.007	0.00013	1	0.00013	1	0.007	55	0.082	647
profile_86 (EFL) cdd_262530	0.025	0.005	1	0.005	1	0.025	5	0.13	26
profile_224 (EFL) cdd_264349	0.0015	0.0015	1	0.0015	1	0.0015	1	0.0029	2
profile_86 (EFL) cdd_266496	0.0039	0.00078	1	0.00078	1	0.0039	5	0.14	175
profile_202 (EFL) cdd_267455	0.15	0.15	9	0.15	9	0.15	9	0.15	9
profile_63 (EFL) cdd_266502	0.001	0.00051	1	0.00051	1	0.001	2	0.0067	13
profile_86 (EFL) cdd_260205	0.024	0.0014	1	0.0014	1	0.024	17	0.23	160
profile_139 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_107 (EFL) cdd_264488	0.013	0.0019	4	0.0033	7	0.013	28	0.1	214
profile_63 (EFL) cdd_260433	0.0025	0.00098	2	0.0015	3	0.0025	5	0.003	6
profile_293 (EFL) cdd_266525	0.02	0.00047	2	0.0024	10	0.02	85	0.051	217
profile_124 (EFL) cdd_265762	0.007	0.0035	1	0.0035	1	0.007	2	0.007	2
profile_86 (EFL) cdd_260167	0.025	0.0017	1	0.0017	1	0.025	15	0.21	126
profile_113 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_225 (EFL) cdd_187839	1.0	0.33	1	0.33	1	1.0	3	1.0	3
profile_34 (EFL) cdd_264346	0.21	0.16	138	0.16	141	0.21	186	0.25	219
profile_228 (EFL) cdd_260327	0.85	0.75	350	0.77	361	0.85	399	0.91	425
profile_265 (EFL) cdd_260366	0.0076	0.0076	1	0.0076	1	0.0076	1	0.0076	1
profile_64 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_215 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0055	20
profile_227 (EFL) cdd_266485	0.022	0.0012	5	0.0086	35	0.022	89	0.068	278
profile_86 (EFL) cdd_265675	0.0032	0.0004	1	0.0004	1	0.0032	8	0.08	200
profile_165 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.006	22
profile_10 (EFL) cdd_261443	0.001	0.001	1	0.001	1	0.001	1	0.001	1
profile_224 (EFL) cdd_266626	0.79	0.5	14	0.57	16	0.79	22	0.86	24
profile_107 (EFL) cdd_260496	0.0045	0.00065	1	0.00065	1	0.0045	7	0.079	122
profile_182 (EFL) cdd_265460	0.0025	0.0025	3	0.0025	3	0.0025	3	0.011	14
profile_173 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_72 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_214 (EFL) cdd_153420	1.0	1.0	45	1.0	45	1.0	45	1.0	45
profile_32 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_228 (EFL) cdd_266574	0.36	0.29	165	0.3	172	0.36	206	0.51	291
profile_134 (EFL) cdd_260291	0.0074	0.0074	1	0.0074	1	0.0074	1	0.0074	1
profile_86 (EFL) cdd_197448	0.016	0.0053	1	0.0053	1	0.016	3	0.064	12
profile_113 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_92 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0041	8
profile_55 (EFL) cdd_264356	0.041	0.029	10	0.029	10	0.041	14	0.044	15
profile_182 (EFL) cdd_267417	0.22	0.2	171	0.2	176	0.22	188	0.25	217
profile_227 (EFL) cdd_266528	0.2	0.078	8	0.18	18	0.2	20	0.27	28
profile_28 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_168 (EFL) cdd_260478	0.61	0.33	211	0.38	240	0.61	390	0.77	489
profile_214 (EFL) cdd_266569	0.0028	0.0028	1	0.0028	1	0.0028	1	0.0084	3
profile_125 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_238 (EFL) cdd_260768	0.0039	0.00097	1	0.00097	1	0.0039	4	0.012	12
profile_195 (EFL) cdd_260454	1.0	0.97	188	0.97	188	1.0	194	1.0	194
profile_130 (EFL) cdd_267298	0.015	0.002	2	0.009	9	0.015	15	0.04	40
profile_102 (EFL) cdd_260315	0.3	0.28	29	0.28	29	0.3	32	0.3	32
profile_145 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_171 (EFL) cdd_266538	0.038	0.036	119	0.036	119	0.038	126	0.038	128
profile_6 (EFL) cdd_266546	0.17	0.1	54	0.1	54	0.17	90	0.23	117
profile_138 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_282 (EFL) cdd_260256	0.23	0.2	28	0.2	28	0.23	32	0.24	34
profile_51 (EFL) cdd_266542	0.00087	0.00087	1	0.00087	1	0.00087	1	0.0096	11
profile_86 (EFL) cdd_267400	0.11	0.009	2	0.009	2	0.11	25	0.46	102
profile_107 (EFL) cdd_153432	0.17	0.056	1	0.056	1	0.17	3	0.67	12
profile_151 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_2 (EFL) cdd_260145	0.28	0.25	13	0.25	13	0.28	15	0.28	15
profile_20 (EFL) cdd_267450	0.78	0.67	46	0.67	46	0.78	54	0.8	55
profile_147 (EFL) cdd_266546	0.35	0.17	90	0.25	132	0.35	182	0.41	214
profile_225 (EFL) cdd_266551	0.81	0.8	2896	0.8	2911	0.81	2935	0.83	3006
profile_92 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0022	8
profile_241 (EFL) cdd_264353	0.44	0.41	139	0.41	139	0.44	151	0.46	156
profile_86 (EFL) cdd_260334	0.028	0.0017	1	0.0034	2	0.028	16	0.14	84
profile_201 (EFL) cdd_263730	0.0015	0.00021	1	0.00043	2	0.0015	7	0.016	73
profile_86 (EFL) cdd_266599	0.0052	0.0026	1	0.0026	1	0.0052	2	0.11	42
profile_191 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_224 (EFL) cdd_266564	0.66	0.46	81	0.53	94	0.66	118	0.8	143
profile_196 (EFL) cdd_260469	0.042	0.03	129	0.03	129	0.042	180	0.051	219
profile_303 (EFL) cdd_261325	0.32	0.31	300	0.31	308	0.32	315	0.33	327
profile_213 (EFL) cdd_265675	0.0012	0.0004	1	0.0004	1	0.0012	3	0.0044	11
profile_149 (EFL) cdd_260310	0.1	0.1	13	0.1	13	0.1	13	0.1	13
profile_258 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_285 (EFL) cdd_266551	0.003	0.00027	1	0.00027	1	0.003	11	0.019	68
profile_107 (EFL) cdd_263924	0.011	0.0012	2	0.0012	2	0.011	19	0.12	208
profile_184 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_46 (EFL) cdd_261038	0.0019	0.00047	1	0.00047	1	0.0019	4	0.043	91
profile_209 (EFL) cdd_260314	0.059	0.018	4	0.023	5	0.059	13	0.13	29
profile_51 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0019	7
profile_3 (EFL) cdd_266587	0.23	0.22	64	0.23	66	0.23	67	0.26	75
profile_192 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.003	11
profile_269 (EFL) cdd_260427	0.78	0.71	1230	0.72	1253	0.78	1349	0.85	1471
profile_189 (EFL) cdd_266502	0.0031	0.0031	6	0.0031	6	0.0031	6	0.0036	7
profile_143 (EFL) cdd_264347	0.0071	0.0055	20	0.0055	20	0.0071	26	0.01	38
profile_30 (EFL) cdd_266561	0.081	0.081	20	0.081	20	0.081	20	0.089	22
profile_13 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_86 (EFL) cdd_261400	0.0039	0.0039	1	0.0039	1	0.0039	1	0.027	7
profile_33 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_1 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_247 (EFL) cdd_176599	0.026	0.026	1	0.026	1	0.026	1	0.026	1
profile_283 (EFL) cdd_261325	0.002	0.001	1	0.001	1	0.002	2	0.002	2
profile_258 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_86 (EFL) cdd_265458	0.019	0.0012	2	0.0012	2	0.019	33	0.13	217
profile_86 (EFL) cdd_238247	0.026	0.0051	1	0.0051	1	0.026	5	0.16	32
profile_255 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_107 (EFL) cdd_241902	0.024	0.0034	1	0.0034	1	0.024	7	0.11	33
profile_86 (EFL) cdd_263718	0.017	0.0034	1	0.0034	1	0.017	5	0.11	33
profile_107 (EFL) cdd_265459	0.0047	0.00047	1	0.00047	1	0.0047	10	0.055	117
profile_147 (EFL) cdd_263925	0.14	0.01	31	0.033	99	0.14	405	0.21	639
profile_86 (EFL) cdd_263971	0.019	0.0039	1	0.0039	1	0.019	5	0.24	61
profile_165 (EFL) cdd_261674	0.95	0.95	42	0.95	42	0.95	42	0.95	42
profile_157 (EFL) cdd_263923	0.31	0.22	197	0.25	226	0.31	280	0.35	316
profile_130 (EFL) cdd_187839	0.33	0.33	1	0.33	1	0.33	1	1.0	3
profile_303 (EFL) cdd_261443	0.0062	0.001	1	0.0021	2	0.0062	6	0.012	12
profile_200 (EFL) cdd_265771	0.0016	0.00082	1	0.00082	1	0.0016	2	0.0033	4
profile_294 (EFL) cdd_260159	1.0	1.0	51	1.0	51	1.0	51	1.0	51
profile_228 (EFL) cdd_266551	0.83	0.81	2966	0.82	3002	0.83	3037	0.85	3095
profile_248 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_121 (EFL) cdd_266533	0.87	0.63	52	0.76	63	0.87	72	0.96	80
profile_154 (EFL) cdd_260269	0.97	0.9	267	0.9	267	0.97	288	0.98	289
profile_86 (EFL) cdd_264522	0.041	0.0034	1	0.0034	1	0.041	12	0.4	118
profile_86 (EFL) cdd_259839	0.22	0.17	3	0.17	3	0.22	4	0.78	14
profile_126 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_257 (EFL) cdd_263924	0.0006	0.0006	1	0.0006	1	0.0006	1	0.0018	3
profile_228 (EFL) cdd_266525	0.055	0.051	218	0.052	220	0.055	235	0.067	283
profile_86 (EFL) cdd_261433	0.096	0.0096	1	0.0096	1	0.096	10	0.35	36
